commit_hash,date,author,file_path,lines_added,lines_deleted,churn,is_bug_fix,commit_message
0a300d0,2022-03-23T08:26:22-07:00,David Lord,src/flask/debughelpers.py,9,5,14,1,better replacement of original form KeyError
0a300d0,2022-03-23T08:26:22-07:00,David Lord,src/flask/wrappers.py,1,1,2,1,better replacement of original form KeyError
c9a1f7a,2022-03-23T08:25:22-07:00,David Lord,src/flask/app.py,14,5,19,1,"don't intercept 307/308 routing redirects

These don't change the request body, so the debug error i"
c9a1f7a,2022-03-23T08:25:22-07:00,David Lord,src/flask/debughelpers.py,15,17,32,1,"don't intercept 307/308 routing redirects

These don't change the request body, so the debug error i"
c9a1f7a,2022-03-23T08:25:22-07:00,David Lord,tests/test_basic.py,15,13,28,1,"don't intercept 307/308 routing redirects

These don't change the request body, so the debug error i"
faaa559,2022-03-15T08:44:09-07:00,David Lord,src/flask/ctx.py,8,2,10,0,accurate type for __exit__
faaa559,2022-03-15T08:44:09-07:00,David Lord,src/flask/testing.py,4,1,5,0,accurate type for __exit__
190dd4d,2022-03-15T08:32:15-07:00,David Lord,src/flask/app.py,9,5,14,0,don't use AnyStr for ResponseValue type
190dd4d,2022-03-15T08:32:15-07:00,David Lord,src/flask/helpers.py,1,1,2,0,don't use AnyStr for ResponseValue type
190dd4d,2022-03-15T08:32:15-07:00,David Lord,src/flask/typing.py,5,3,8,0,don't use AnyStr for ResponseValue type
8886328,2022-03-15T08:32:15-07:00,David Lord,src/flask/app.py,1,3,4,1,relax errorhandler function arg type
8886328,2022-03-15T08:32:15-07:00,David Lord,src/flask/blueprints.py,1,3,4,1,relax errorhandler function arg type
8886328,2022-03-15T08:32:15-07:00,David Lord,src/flask/scaffold.py,7,18,25,1,relax errorhandler function arg type
8886328,2022-03-15T08:32:15-07:00,David Lord,src/flask/typing.py,7,3,10,1,relax errorhandler function arg type
b707bf4,2022-03-15T06:35:29-07:00,uedvt359,src/flask/sessions.py,7,2,9,1,"Preserve HttpOnly flag when deleting session cookie

fixes #4485"
af34b8c,2022-03-08T20:13:30+05:30,Tushar Sadhwani,src/flask/scaffold.py,13,8,21,0,Add better types for app decorators
aa13521,2022-02-22T19:04:03-08:00,David Lord,src/flask/cli.py,8,0,8,0,lazy loading preserves click context
6f79cb8,2022-02-16T21:12:01-08:00,Colin Adams,src/flask/app.py,2,1,3,1,Fix typing on `app.session_interface`
702d973,2022-02-14T11:34:37-08:00,David Lord,src/flask/__init__.py,1,1,2,0,release version 2.0.3
beae124,2022-02-09T12:44:03-08:00,Mickaël Guérin,src/flask/cli.py,21,1,22,0,add `exclude-patterns` option to `flask run`
1be65b1,2022-02-09T11:13:03-08:00,David Lord,src/flask/testing.py,31,30,61,0,overriding FlaskClient.open works with redirects
426a1e2,2022-02-08T12:26:25-08:00,David Lord,tests/test_basic.py,10,3,13,1,fix pytest 7 warnings
426a1e2,2022-02-08T12:26:25-08:00,David Lord,tests/test_reqctx.py,6,1,7,1,fix pytest 7 warnings
9a134da,2022-01-27T11:43:42+01:00,Stefane Fermigier,src/flask/templating.py,2,1,3,0,Match typing declaration with implementation.
